instruction,answer
请仿写李白的诗,头陀悬万仞，远眺望华峰。聊借金沙水，洗开九芙蓉。烟岚随遍览，踏屐走双龙。明日登高去，山僧孰与从？禅床今暂歇，枕月卧青松。更尽闻呼鸟，恍来报晓钟。
创作一首愁绪诗,向夕龙门渡，风潮半落霞。暂停游子棹，得访故人家。浦口鱼罾近，津头酒幔斜。踟蹰那忍去，乘月涉江沙。
以上方僧又起为出句，续写律诗,清磬出林初。吟苦晓灯暗，露零秋草疏。旧山多梦到，流水送愁馀。寄寺欲经岁，惭无亲故书。
以七贵五侯生肯退为出句，续写绝句,利尘名网死当抛。黔娄寂寞严陵卧，借问何人与结交。
续写律诗，古戍依重险,高楼见五梁。山根盘驿道，河水浸城墙。庭树巢鹦鹉，园花隐麝香。忽然江浦上，忆作捕鱼郎。
续写律诗，役思曾冲尹,多言阻国亲。桂枝何所直，陋巷不胜贫。马病唯汤雪，门荒劣有人。伊余吟亦苦，为尔一眉嚬。
请仿写白居易的诗,墓门已闭笳箫去，唯有夫人哭不休。苍苍露草咸阳垄，此是千秋第一秋。
续写律诗，含情含怨一枝枝,斜压渔家短短篱。惹袖尚馀香半日，向人如诉雨多时。初开偏称雕梁画，未落先愁玉笛吹。行客见来无去意，解帆烟浦为题诗。
续写律诗，暑消冈舍清,闲语有馀情。涧水生茶味，松风灭扇声。远分临海雨，静觉掩山城。此地秋吟苦，时来绕菊行。
续写律诗，十亩馀芦苇,新秋看雪霜。世人谁到此，尘念自应忘。斜日风收钓，深秋雨信梁。不知双阙下，何以谓轩裳。
续写律诗，十二阑干压锦城,半空人语落滩声。风流近接平津阁，气色高含细柳营。尽日捲帘江草绿，有时欹枕雪峰晴。不知捧诏朝天后，谁此登临看月明。
以怀人为主题，写一首诗,江南一回首，极北重怀君。奈此云山系，徒然花鸟纷。省中鸦易曙，夫外雁难群。寄我思归引，忧来不可闻。
以微雨微风寒食节为出句，续写绝句,半开半合木兰花。看花倚柱终朝立，却似凄凄不在家。
写一首思乡诗,弟兄不见十馀年，南北相望各一天。久别故园空有梦，新添白发自堪怜。已知放浪烟霞外，自愧栖迟雨露边。愁思满怀无处着，朝回时诵鹡鸰篇。
请仿写李白的诗,汉水波浪远，巫山云雨飞。东风吹客梦，西落此中时。觉后思白帝，佳人与我违。瞿塘饶贾客，音信莫令稀。
以物态时情难重陈为出句，续写律诗,夫君此去莫伤春。男儿只要有知己，才子何堪更问津。万转江山通蜀国，两行珠翠见褒人。海棠花谢东风老，应念京都共苦辛。
创作一首思乡诗,秦燕千树地，富贵出山庄。外作猬毛磔，中含鸡子黄。悬枝开霁日，芽绿候春阳。每忆和儿炒，如今去故乡。
续写绝句，世间多少能诗客,谁是无愁得睡人。自我夜来霜月下，到头吟魄始终身。
请仿写白居易的诗,位逾三品日，年过六旬时。不道官班下，其如筋力衰。犹怜好风景，转重旧亲知。少壮难重得，欢娱且强为。兴来池上酌，醉出袖中诗。静话开襟久，闲吟放盏迟。落花无限雪，残鬓几多丝。莫说伤心事，春翁易酒悲。
请仿写白居易的诗,忆昔羁贫应举年，脱衣典酒曲江边。十千一斗犹赊饮，何况官供不著钱。
创作一首思乡诗，律诗,移棹忽闻莺，芳洲此日晴。树阴连野阔，山翠入江明。倚醉亲鱼鸟，行歌答友生。不知春草色，何与故园情。
请仿写白居易的诗,卖药向都城，行憩青门树。道逢驰驿者，色有非常惧。亲族走相送，欲别不敢住。私怪问道旁，何人复何故。云是右丞相，当国握枢务。禄厚食万钱，恩深日三顾。昨日延英对，今日崖州去。由来君臣间，宠辱在朝暮。青青东郊草，中有归山路。归去卧云人，谋身计非误。
创作一首思乡诗,乱萤飞不停，独鸟栖还起。若说故乡情，深于大湖水。
写一首愁绪诗,芒鞋随意踏青莎，一日溪头几度过。高树夕阳人影乱，断桥幽涧水声多。思乡拟作东都赋，远俗犹闻隔院歌。不向晚凉移席坐，好怀佳赏奈君何。
写一首愁绪诗,天涯春又至，游子近如何。病久诗难减，乡遥梦易多。药苗春尚雪，舟楫海初波。旧业方山下，东风遍绿莎。
续写律诗，孤城落日一登临,感激戎庭万里心。乡国云山遮不见，风光惨澹益愁深。漂流空叹东溪水，倏忽仍嗟西岭阴。留滞只今寒暑变，谁怜客子独悲吟。
续写律诗，贤侯辟士礼从容,莫恋泉声问所从。雨露初承黄纸诏，烟霞欲别紫霄峰。伤弓未息新惊鸟，得水难留久卧龙。我正退藏君变化，一杯可易得相逢。
以思乡为主题，写一首诗,羁人怨夜长，况复闻清砧。急杵捣离思，哀响攒秋心。他乡各明月，故衣难掩襟。谁能塞两耳，满与浊醪斟。
